x,phylo_names,body_region,ecology,mean_roughness,mean_peak,sd_roughness,sd_peak
157,Nannophryne_cophotis,DA,terrestrial_leaflitter,8.245652588,35.585345,4.476802428,15.67185618
158,Nannophryne_cophotis,DP,terrestrial_leaflitter,9.08270338,35.94927417,4.969100392,18.0523479
159,Nannophryne_cophotis,VA,terrestrial_leaflitter,7.366125691,26.789529,1.414859721,9.665594642
160,Nannophryne_cophotis,VP,terrestrial_leaflitter,6.109634949,23.9362005,1.631410725,6.317775792
161,Ingerophrynus_divergens,DA,terrestrial_leaflitter,4.639217033,25.4388935,2.227773138,14.48511868
162,Ingerophrynus_divergens,DP,terrestrial_leaflitter,3.426120954,18.993612,0.904050182,5.865043875
163,Ingerophrynus_divergens,VA,terrestrial_leaflitter,6.975606625,31.35553567,1.344612893,9.433510735
164,Ingerophrynus_divergens,VP,terrestrial_leaflitter,10.32710525,45.18074984,5.481163089,21.07601005
165,Anaxyrus_fowleri,DA,terrestrial_burrower,10.00348866,39.25863333,9.617732328,29.69929909
166,Anaxyrus_fowleri,DP,terrestrial_burrower,8.875199285,37.08341833,5.725841868,21.08569365
167,Anaxyrus_fowleri,VA,terrestrial_burrower,4.263109115,21.038019,1.016978769,3.260667742
168,Anaxyrus_fowleri,VP,terrestrial_burrower,4.928064029,21.092586,0.631445398,4.704443813
169,Peltophryne_fustiger,DA,terrestrial_leaflitter,1.531007172,12.11891867,0.438710201,5.966293739
170,Peltophryne_fustiger,DP,terrestrial_leaflitter,4.34609461,23.275867,0.970266918,4.079595935
171,Peltophryne_fustiger,VA,terrestrial_leaflitter,5.061326444,26.76187267,1.010990814,8.429686087
172,Peltophryne_fustiger,VP,terrestrial_leaflitter,8.403467549,28.97361467,3.33940756,10.60203505
173,Ingerophrynus_galeatus,DA,terrestrial_torrent,4.794080777,24.95034692,1.451589999,8.510439229
174,Ingerophrynus_galeatus,DP,terrestrial_torrent,4.963833345,36.28160067,1.599057071,23.15442495
175,Ingerophrynus_galeatus,VA,terrestrial_torrent,8.129516823,43.691438,2.540816951,14.20145171
176,Ingerophrynus_galeatus,VP,terrestrial_torrent,8.396358291,48.53337409,2.359052092,19.99398078
177,Rhaebo_guttatus,DA,terrestrial_leaflitter,6.060820453,14.51179,8.817414944,15.79948062
178,Rhaebo_guttatus,DP,terrestrial_leaflitter,3.742223988,13.380038,2.934984138,8.407684014
179,Rhaebo_guttatus,VA,terrestrial_leaflitter,3.162726444,16.021902,2.115583639,10.82351012
180,Rhaebo_guttatus,VP,terrestrial_leaflitter,9.399901411,27.317693,2.909554252,3.199791981
181,Sclerophrys_gutturalis,DA,terrestrial_leaflitter,3.407862861,14.87626067,1.011556647,4.625040859
182,Sclerophrys_gutturalis,DP,terrestrial_leaflitter,3.401949483,22.03392367,1.201009827,8.323803573
183,Sclerophrys_gutturalis,VA,terrestrial_leaflitter,6.847294387,38.06570667,0.533323407,13.43558233
184,Sclerophrys_gutturalis,VP,terrestrial_leaflitter,9.504606819,31.50382833,2.45249759,4.46040882
185,Peltophryne_lemur,DA,terrestrial_burrower,5.551542553,31.41720034,3.473416998,14.86340385
186,Peltophryne_lemur,DP,terrestrial_burrower,4.968526366,23.3964125,2.373108735,10.42393635
187,Peltophryne_lemur,VA,terrestrial_burrower,4.654568642,32.86731817,2.143305925,10.86825112
188,Peltophryne_lemur,VP,terrestrial_burrower,5.751621397,20.5495955,2.526395704,7.359871796
189,Rhinella_marina,DA,terrestrial_leaflitter,3.506376119,19.24979033,1.103580434,11.23379733
190,Rhinella_marina,DP,terrestrial_leaflitter,6.521089059,31.56242267,2.736598894,17.34279467
191,Rhinella_marina,VA,terrestrial_leaflitter,2.639607998,13.57395367,0.662350382,1.841969519
192,Rhinella_marina,VP,terrestrial_leaflitter,6.003932856,20.04571667,4.058251218,5.894712678
193,Duttaphrynus_melanostictus,DA,terrestrial_leaflitter,4.08665193,16.78438656,2.361492711,8.111849089
194,Duttaphrynus_melanostictus,DP,terrestrial_leaflitter,7.029500574,34.76713967,4.10947311,15.86987932
195,Duttaphrynus_melanostictus,VA,terrestrial_leaflitter,9.551664,43.88165542,1.521866965,4.728398139
